recordID,acceptedNameUsage,verbatimIdentification,species,kingdom,phylum,class,order,family,taxonRank,locationID,higherGeographyID,locality,locationRemarks,lat,long,countryCode_alpha3,occurrenceStatus,occurrenceRemarks,establishmentMeans,occurrenceReference,eradicationStatus,eradicationYear,eradicationReference,estimatedIntroductionDate,firstObservationRecord,firstPublishedRecord,firstRecordReference,habitat,isInvasive,invasiveReference
1,Abies procera Rehd.,Abies procera,Abies procera,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,East Falkland,-51.78640574,-59.10198666,FLK,uncertain,,introduced,[92],,,,,1977,1982,[92],terrestrial,Non-invasive,[92]
2,Abies procera Rehd.,Abies procera,Abies procera,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,species,FALKLA,sub-Antarctic,Falklands/Malvinas,West Falkland,-51.78640574,-59.10198666,FLK,uncertain,,introduced,[92],,,,,1977,1982,[92],terrestrial,Non-invasive,[92]
3,Acacia dealbata Link,Acacia dealbata,Acacia dealbata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[340],,,,,,,,terrestrial,Inconclusive,
4,Acacia melanoxylon R.Br.,Mimosa melanoxylon,Acacia melanoxylon,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,species,NAMSTP,sub-Antarctic,New Amsterdam and St. Paul,ële Amsterdam,-38.26674246,77.54711913,ATF,present,,introduced,[340],,,,,,,,terrestrial,Inconclusive,
5,Acaena anserinifolia (J.R.Forst. & G.Forst.) Druce,Acaena anserinifolia,Acaena anserinifolia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,species,AUCKLA,sub-Antarctic,Auckland,Auckland Islands,-50.69186457,166.1163441,NZL,present,,uncertain,[65][125],,,,,1943,1975,[125],terrestrial,Inconclusive,
6,Acaena anserinifolia (J.R.Forst. & G.Forst.) Druce,Acaena anserinifolia,Acaena anserinifolia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,species,CAMPBE,sub-Antarctic,Campbell,Campbell Island/Motu Ihupuku,-52.53763652,169.1425801,NZL,present,,uncertain,[65][191],,,,,,1975,[191],terrestrial,Inconclusive,
7,Acaena magellanica (Lam.) Vahl,Acaena magellanica,Acaena magellanica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,species,ACBR02,Antarctica,South Orkney Islands,Signy Island,-60.6413192,-45.24235979,ATA,absent,eradicated,introduced,[289][361],eradicated,1973,[289],,1965,1979,[289][361],terrestrial,Non-invasive,[289]
8,Acaena tenera Albov ex Albov & Kurtz,Acaena tenera,Acaena tenera,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,species,ACBR02,Antarctica,South Orkney Islands,Signy Island,-60.6413192,-45.24235979,ATA,absent,eradicated,introduced,[289][361],eradicated,1973,[289],1967,1967,1979,[289],terrestrial,Non-invasive,[289]
9,"Acanthis flammea (Linnaeus, 1758)",Acanthis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,ANTIPO,sub-Antarctic,Antipodes,Antipodes Islands,-49.67979937,178.7673311,NZL,present,resident,introduced,[71][145],,,,,1969,1979,[71][145],terrestrial,Non-invasive,[145]
10,"Acanthis flammea (Linnaeus, 1758)",Carduelis flammea,Acanthis flammea,Animalia,Chordata,Aves,Passeriformes,Fringillidae,species,AUCKLA,sub-Antarctic,Auckland,Adams Island,-50.69186457,166.1163441,NZL,present,secondary introduction - breeding,introduced,[72][283],,,,,1942,,[72],terrestrial,Non-invasive,[283]
